5	Диаграммы	10.0.2.2	2022-03-09	19:53:41
5	Диаграммы	10.0.2.2	2022-03-09	19:54:35
20	Тест	10.0.2.2	2022-03-09	19:59:24
20	Тест	10.0.2.2	2022-03-09	20:01:04
20	Тест	10.0.2.2	2022-03-09	20:01:09
4	CGI	10.0.2.2	2022-03-09	20:01:16
10	bash(очет)	10.0.2.2	2022-03-09	20:01:28
3	ЛР(символы, строки)	10.0.2.2	2022-03-09	20:01:34
3	ЛР(символы, строки)	10.0.2.2	2022-03-09	20:01:44
8	ЛР(в файл, из файла)	10.0.2.2	2022-03-09	20:01:47
8	ЛР(в файл, из файла)	10.0.2.2	2022-03-09	20:01:53
9	ЛР(в базу, из базы)	10.0.2.2	2022-03-09	20:01:57
9	ЛР(в базу, из базы)	10.0.2.2	2022-03-09	20:02:02
6	Магазин	10.0.2.2	2022-03-09	20:02:09
6	Магазин	10.0.2.2	2022-03-09	20:02:14
5	Диаграммы	10.0.2.2	2022-03-09	20:02:18
20	Тест	10.0.2.2	2022-03-09	20:06:27
5	Диаграммы	10.0.2.2	2022-03-09	20:06:54
6	Магазин	10.0.2.2	2022-03-09	20:07:02
6	Магазин	10.0.2.2	2022-03-09	20:07:09
20	Тест	10.0.2.2	2022-03-09	20:07:35
10	bash(очет)	10.0.2.2	2022-03-09	20:08:05
20	Тест	10.0.2.2	2022-03-13	19:00:23
4	CGI	10.0.2.2	2022-03-13	19:00:36
20	Тест	10.0.2.2	2022-03-13	19:00:39
